ICD9_Code,ICD10_Code
140,C00
141,C02
142,C08
143,C03
144,C04
145,C05
146,C09
147,C11
148,C13
149,C14
150,C15
151,C16
152,C17
153,C18
154,C21
155,C22
156,C24
157,C25
158,C48
159,C26
160,C30
161,C32
162,C34
163,C38
164,C38
165,C39
170,C40
171,C47
172,C43
173,C44
174,C50
175,C50
176,C46
179,C55
180,C53
181,C58
182,C54
183,C56
184,C51
185,C61
186,C62
187,C60
188,C67
189,C64
190,C69
191,C71
192,C70
193,C73
194,C74
195,C76
196,C77
197,C78
198,C79
199,C80
200,C83
201,C81
202,C82
203,C90
204,C91
205,C92
206,C93
207,C94
208,C95
209,C7A
225,D32
230,D00
231,D02
232,D04
233,D05
234,D09
237,D42
238,D46
239,D49
273,C88
288,D72
537,K31
784,R90
795,R87
796,R85
209,D3A
211,D13
215,D21
216,D23
227,D35
233,D06
235,D37
237,D44
238,D48
239,D49
258,E31
259,E34
277,E88
284,D61
285,D64
289,D75
338,G89
377,H47
420,J31
446,M31
508,J70
511,J91
528,K12
538,K92
558,K52
569,K62
595,N30
606,N46
607,N52
648,O9A
655,O35
692,L58
737,M96
760,P04
780,R53
789,R18
790,R97
963,T45
990,T66
996,T86
999,T80
E858,T38
E873,Y63
E879,Y84
E930,T45
E933,T45
V07,Z79
V10,Z85
V12,Z86
V13,Z86
V15,Z92
V18,Z86
V42,Z94
V50,Z40
V51,Z42
V58,Z51
V66,Z51
V67,Z08
V87,Z92
1400,C000
1401,C001
1403,C003
1404,C004
1405,C005
1406,C006
1408,C008
1409,C009
1410,C01
1411,C020
1412,C021
1413,C022
1414,C023
1415,C028
1416,C024
1418,C028
1419,C029
1420,C07
1421,C080
1422,C081
1428,C089
1429,C089
1430,C030
1431,C031
1438,C039
1439,C039
1440,C040
1441,C041
1448,C048
1449,C049
1450,C060
1451,C061
1452,C050
1453,C051
1454,C052
1455,C059
1456,C062
1458,C068
1459,C069
1460,C099
1461,C090
1462,C091
1463,C100
1464,C101
1465,C108
1466,C102
1467,C103
1468,C108
1469,C104
1470,C110
1471,C111
1472,C112
1473,C113
1478,C118
1479,C119
1480,C131
1481,C12
1482,C131
1483,C132
1488,C138
1489,C139
1490,C140
1491,C142
1498,C148
1499,C148
1500,C153
1501,C154
1502,C155
1503,C153
1504,C154
1505,C155
1508,C158
1509,C159
1510,C160
1511,C164
1512,C163
1513,C161
1514,C162
1515,C165
1516,C166
1518,C168
1519,C169
1520,C170
1521,C171
1522,C172
1523,C173
1528,C178
1529,C179
1530,C183
1531,C184
1532,C186
1533,C187
1534,C180
1535,C181
1536,C182
1537,C185
1538,C188
1539,C189
1540,C19
1541,C20
1542,C211
1543,C210
1548,C218
1550,C228
1551,C221
1552,C229
1560,C23
1561,C240
1562,C241
1568,C248
1569,C249
1570,C250
1571,C251
1572,C252
1573,C253
1574,C254
1578,C257
1580,C480
1588,C481
1589,C482
1590,C260
1591,C261
1598,C269
1599,C269
1600,C31
1601,C301
1602,C310
1603,C311
1604,C312
1605,C313
1608,C318
1609,C319
1610,C320
1611,C321
1612,C322
1613,C323
1618,C328
1619,C329
1620,C33
1622,C340
1623,C341
1624,C342
1625,C343
1628,C348
1629,C349
1630,C384
1631,C384
1638,C384
1639,C384
1640,C37
1641,C380
1642,C452
1643,C381
1648,C382
1649,C388
1650,C390
1658,C399
1659,C399
1700,C410
1701,C411
1702,C412
1703,C413
1704,C400
1705,C401
1706,C414
1707,C402
1708,C403
1709,C409
1710,C470
1712,C471
1713,C472
1714,C473
1715,C474
1716,C475
1717,C476
1718,C478
1719,C499
1720,C430
1721,C431
1722,C432
1723,C433
1724,C434
1725,C435
1726,C436
1727,C437
1728,C438
1729,C439
17300,C4400
17309,C4409
17310,C4410
17319,C4419
17320,C4420
17329,C4429
17330,C4430
17339,C4439
17340,C4440
